,hand_c1,hand_c2,board_c1,board_c2,board_c3,board_c4,board_c5,winning_proba,confidence95
0,7-H,A-D,4-C,4-D,9-D,9-H,9-S,0.903,0.001160154447649105
1,3-H,A-D,5-C,7-H,7-D,10-C,K-H,0.491,0.0019596824542767125
2,5-H,8-D,3-C,3-D,7-S,8-C,J-D,0.718,0.0017638954635691992
3,7-H,8-D,7-D,Q-H,K-C,K-H,A-H,0.602,0.0019187829409289632
4,4-H,A-D,3-C,5-S,7-S,9-D,Q-H,0.31,0.0018129735133200371
5,3-H,8-D,3-D,7-C,8-H,9-H,J-S,0.734,0.0017321077915649476
6,2-H,K-H,2-D,8-C,10-D,Q-H,A-D,0.434,0.0019428494438839055
7,7-H,A-D,2-H,4-H,5-C,7-C,Q-S,0.744,0.0017107735120699056
8,2-H,4-H,4-D,5-C,6-S,10-S,Q-S,0.391,0.0019128595875285777
9,8-H,J-H,3-D,4-C,5-S,10-D,Q-D,0.133,0.0013311329574464004
10,3-H,8-H,3-D,6-C,8-S,10-H,J-H,0.898,0.00118638137814111
11,5-H,J-D,3-H,4-C,4-S,8-H,10-D,0.501,0.00195999607999608
12,4-H,K-D,7-C,9-D,10-S,J-C,A-S,0.287,0.0017732573976724304
13,2-H,K-D,3-H,5-H,6-H,8-C,9-D,0.138,0.0013520079431719326
14,2-H,Q-D,4-C,5-D,6-D,6-C,8-S,0.375,0.0018977618396416342
15,J-H,A-D,2-D,4-C,7-S,8-S,J-S,0.835,0.0014550277523126495
16,Q-H,K-D,3-C,6-H,7-S,10-H,Q-S,0.861,0.0013561103884271368
17,A-H,A-D,2-C,2-H,3-S,9-D,K-C,0.907,0.001138495149923793
18,2-H,3-D,3-H,6-D,7-D,A-C,A-S,0.57,0.0019406969469754932
19,Q-H,K-D,4-C,6-D,7-H,Q-D,K-S,0.952,0.0008379636116204572
20,2-H,4-D,8-C,9-S,10-H,J-S,A-H,0.126,0.0013008495045930563
21,8-H,K-D,7-D,8-D,10-H,10-C,K-H,0.869,0.0013226093941901367
22,4-H,K-D,2-C,2-D,6-C,8-S,A-C,0.494,0.001959858874919314
23,3-H,K-D,3-C,4-S,6-D,10-H,A-C,0.453,0.0019513215066718247
24,J-H,K-H,2-D,2-C,7-S,A-D,A-C,0.654,0.0018647172594256748
25,3-H,5-H,4-D,J-C,K-C,A-D,A-H,0.496,0.001959937278996448
26,J-H,A-D,3-D,8-D,Q-C,Q-D,K-H,0.491,0.0019596824542767125
27,3-H,5-H,3-D,5-D,6-D,10-D,K-C,0.554,0.0019485357521995845
28,5-H,J-D,3-C,7-C,10-S,Q-D,K-C,0.284,0.0017676722664566528
29,2-H,5-D,5-H,6-C,8-S,10-S,A-S,0.433,0.0019423234103516332
30,3-H,4-D,2-C,6-S,7-S,7-D,8-C,0.475,0.001957548466832941
31,6-H,J-D,2-C,8-D,9-H,10-S,10-C,0.484,0.0019589962229672624
32,5-H,6-H,3-D,4-C,4-H,J-S,Q-D,0.552,0.0019493715024078914
33,7-H,Q-D,2-C,4-D,6-H,7-C,A-C,0.717,0.0017657892259270356
34,4-H,5-D,3-C,5-C,6-D,9-D,J-D,0.478,0.0019581018008265044
35,3-H,4-D,6-H,7-C,9-C,J-D,Q-H,0.074,0.0010261418974001598
36,5-H,A-H,3-H,4-D,8-D,Q-H,A-C,0.9,0.001176
37,2-H,8-H,2-D,3-D,6-C,6-D,J-S,0.574,0.0019384152273442346
38,4-H,J-D,3-C,5-H,7-C,9-C,K-S,0.117,0.0012599675195813583
39,10-H,A-D,3-C,4-C,8-D,K-H,A-S,0.899,0.0011812085986818756
40,2-H,4-D,2-C,6-S,9-D,J-C,Q-D,0.452,0.001950947414565549
41,10-H,Q-D,3-C,4-D,4-C,5-H,K-D,0.469,0.0019562292528228897
42,3-H,K-H,4-H,Q-D,Q-C,K-D,K-C,1.0,0.0
43,4-H,10-D,6-C,J-C,Q-C,Q-S,A-C,0.285,0.0017695446193865812
44,7-H,8-H,2-H,4-D,10-C,K-C,A-D,0.119,0.0012692509639941189
45,Q-H,A-H,3-D,6-D,8-D,9-H,A-D,0.525,0.001957548466832941
46,K-H,A-D,2-C,4-D,5-S,9-S,10-S,0.378,0.0019007594541130132
47,7-H,Q-D,3-C,6-C,8-S,J-H,Q-S,0.88,0.0012738492218469187
48,7-H,Q-D,2-C,4-S,5-C,9-C,K-C,0.133,0.0013311329574464004
49,4-H,7-H,3-H,6-D,7-D,8-H,Q-C,0.678,0.0018315924717032443
50,2-H,K-D,5-C,6-D,A-C,A-D,A-S,0.609,0.0019128595875285777
51,2-H,10-D,3-C,7-C,9-S,9-D,Q-C,0.482,0.0019587295082272083
52,4-H,6-D,3-C,4-D,6-H,J-D,A-H,0.9,0.001176
53,2-H,Q-H,2-D,4-H,8-C,Q-S,K-H,0.94,0.0009309484196237731
54,3-H,10-H,2-H,6-H,8-D,10-C,Q-C,0.766,0.0016596189326468893
55,7-H,K-D,2-C,5-S,6-S,7-D,Q-C,0.717,0.0017657892259270356
56,3-H,A-D,6-C,10-S,J-D,A-H,A-C,0.963,0.0007399460780354205
57,4-H,10-D,2-C,6-H,7-C,9-S,10-S,0.713,0.0017732573976724304
58,10-H,Q-H,2-D,4-C,4-S,J-H,J-S,0.79,0.001596648289386238
59,3-H,5-H,4-D,5-C,7-H,9-D,9-H,0.747,0.0017041453290139311
60,9-H,J-D,2-C,5-C,6-S,J-C,A-S,0.746,0.0017063665894525713
61,2-H,A-D,3-C,5-C,6-S,6-D,A-H,0.884,0.0012552816901397073
62,4-H,10-D,3-D,4-C,5-S,6-S,Q-C,0.314,0.001819336149698565
63,3-H,9-D,4-D,4-C,9-C,9-S,J-H,0.993,0.0003268208169624452
64,4-H,A-D,4-C,4-S,7-C,9-S,K-C,0.933,0.0009800862362057735
65,5-H,10-D,6-H,7-D,8-D,Q-C,K-S,0.181,0.001509271271044407
66,4-H,10-H,7-H,10-D,J-D,Q-C,A-S,0.493,0.001959807910587158
67,3-H,10-D,6-H,8-C,Q-H,Q-C,A-C,0.475,0.001957548466832941
68,5-H,7-H,4-D,7-D,9-D,Q-C,Q-S,0.715,0.0017695446193865812
69,K-H,K-D,3-C,6-C,7-D,10-H,K-S,0.966,0.0007104182159826706
70,5-H,10-D,4-C,10-C,Q-C,K-S,A-H,0.475,0.001957548466832941
